Tipo di attività,Data,Preferita,Titolo,Distanza,Calorie,Tempo,FC Media,FC max,TE attività aerobica,Cadenza pedalata media,Cadenza pedalata max,Velocità media,Velocità max,Ascesa totale,Discesa totale,Lunghezza media passo,Rapporto verticale medio,Oscillazione verticale media,Tempo medio di contatto con il suolo,Media bilanciamento TCS,Tempo riposo,Training Stress Score®,Potenza media,Potenza max,Grit,Flow,Totale bracciate,Swolf medio,Frequenza media vogate,Ripetizioni totali,Serie totali,Tempo di immersione,Temperatura min,Intervallo di superficie,Decompressione,Tempo Lap migliore,Numero di Lap,Temperatura max,Frequenza respiratoria media,Frequenza respiratoria minima,Frequenza respiratoria massima,Tempo in movimento,Tempo trascorso,Quota minima,Quota massima
Cardio,2023-02-03 19:29:08,false,"Cardio","0.00","379","01:10:11","91","134","0.8","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","29.0","0:00","No","01:10:11.44.4","1","32.0","22","16","37","00:00:00","01:10:11","--","--"
Ellittica,2023-02-03 18:21:00,false,"Ellittica","13.60","472","01:05:04","108","118","1.8","142","167","12.5","--","--","--","0.00","0.0","0.0","0","--","--","0.0","116","0","0.0","0.0","--","0","0","0","--","0:00","27.0","0:00","No","01:05:04.41.6","1","30.0","27","19","35","00:00:00","01:05:04","--","--"
Trail Running,2023-02-02 15:39:45,false,"Castel Mella Trail Running","24.14","1,676","02:03:48","140","153","4.9","168","177","5:08","4:14","103","101","1.15","8.9","10.5","265","49.2% S / 50.8% D","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","No","00:38.79.8","25","29.0","31","20","42","02:03:38","02:03:48","93","125"
Ciclismo indoor,2023-02-01 13:47:44,false,"Ciclismo indoor","0.00","158","00:25:20","93","102","0.5","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","28.0","0:00","No","25:19.95.3","1","32.0","29","22","37","00:00:00","00:25:20","--","--"
Cardio,2023-02-01 12:43:24,false,"Cardio","0.00","310","01:00:36","87","122","0.6","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","28.0","0:00","No","01:00:35.75","1","30.0","22","16","33","00:00:00","01:00:36","--","--"
Ellittica,2023-02-01 11:31:00,false,"Ellittica","12.87","440","01:05:02","103","114","1.5","138","167","11.9","--","--","--","0.00","0.0","0.0","0","--","--","0.0","124","0","0.0","0.0","--","0","0","0","--","0:00","26.0","0:00","No","01:05:01.56.6","1","28.0","27","16","38","00:00:00","01:05:02","--","--"
Trail Running,2023-01-31 13:24:37,false,"10'Z1 + 40'z2 + (5'z4 + 5'z2)X4 + 10'z2 + 20'z3 + defa","24.52","1,740","02:15:01","137","157","4.9","167","177","5:30","3:59","66","66","1.09","8.9","9.9","270","49.1% S / 50.9% D","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","No","03:10.81.3","25","28.0","33","21","43","02:14:49","02:15:01","101","132"
Trail Running,2023-01-29 19:14:20,false,"Castel Mella Trail Running","17.02","1,227","01:34:44","136","153","4.1","168","179","5:34","4:18","29","30","1.07","9.0","9.8","270","49.3% S / 50.7% D","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","12.0","0:00","No","00:04.21.7","18","25.0","33","19","48","01:34:34","01:34:44","106","123"
Trail Running,2023-01-28 08:53:47,false,"Brescia Trail Running","43.61","3,423","05:41:44","130","152","5.0","148","218","7:50","5:12","1,628","1,609","0.86","10.8","9.2","352","49.8% S / 50.2% D","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","10.0","0:00","No","03:25.91.4","44","23.0","33","18","48","05:40:31","05:53:20","140","870"
Cardio,2023-01-27 20:37:14,false,"Cardio","0.00","392","01:12:49","94","136","1.3","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","29.0","0:00","No","01:12:49.05.5","1","31.0","22","14","31","00:00:00","01:12:49","--","--"
